weather_station,hour,date,ts,air_humidity,air_pressure,air_temperature,rainfall
1325,00,2025-10-11,2025-10-11 00:00:00+00:00,88.0,,13.85,0.0
1325,00,2025-10-12,2025-10-12 00:00:00+00:00,77.5,,14.5,0.0
1325,00,2025-10-13,2025-10-13 00:00:00+00:00,75.5,,14.65,0.0
1325,00,2025-10-14,2025-10-14 00:00:00+00:00,100.0,,13.35,0.0
1325,00,2025-10-15,2025-10-15 00:00:00+00:00,88.0,,11.75,0.0
1325,00,2025-10-16,2025-10-16 00:00:00+00:00,74.0,,11.9,0.0
1325,00,2025-10-17,2025-10-17 00:00:00+00:00,72.0,,12.85,0.0
1325,00,2025-10-18,2025-10-18 00:00:00+00:00,100.0,,11.55,0.0
1325,00,2025-10-19,2025-10-19 00:00:00+00:00,100.0,,9.9,0.0
1325,00,2025-10-20,2025-10-20 00:00:00+00:00,86.0,,10.9,0.0
1325,00,2025-10-21,2025-10-21 00:00:00+00:00,60.5,,15.2,0.0
1325,00,2025-10-22,2025-10-22 00:00:00+00:00,63.0,,15.85,0.0
1325,00,2025-10-23,2025-10-23 00:00:00+00:00,68.0,,16.1,0.0
1325,01,2025-10-11,2025-10-11 01:00:00+00:00,91.0,,13.2,0.0
1325,01,2025-10-12,2025-10-12 01:00:00+00:00,79.5,,14.0,0.0
1325,01,2025-10-13,2025-10-13 01:00:00+00:00,77.0,,14.5,0.0
1325,01,2025-10-14,2025-10-14 01:00:00+00:00,100.0,,12.85,0.0
1325,01,2025-10-15,2025-10-15 01:00:00+00:00,89.5,,11.5,0.0
1325,01,2025-10-16,2025-10-16 01:00:00+00:00,75.5,,11.75,0.0
1325,01,2025-10-17,2025-10-17 01:00:00+00:00,77.0,,12.5,0.4
1325,01,2025-10-18,2025-10-18 01:00:00+00:00,96.5,,11.7,0.0
1325,01,2025-10-19,2025-10-19 01:00:00+00:00,95.0,,9.75000000000002,0.0
1325,01,2025-10-20,2025-10-20 01:00:00+00:00,82.5,,10.85,0.0
1325,01,2025-10-21,2025-10-21 01:00:00+00:00,69.5,,14.0,0.0
1325,01,2025-10-22,2025-10-22 01:00:00+00:00,61.5,,16.15,0.0
1325,02,2025-10-11,2025-10-11 02:00:00+00:00,89.0,,13.05,0.0
1325,02,2025-10-12,2025-10-12 02:00:00+00:00,81.5,,13.35,0.0
1325,02,2025-10-13,2025-10-13 02:00:00+00:00,83.0,,13.65,0.0
1325,02,2025-10-14,2025-10-14 02:00:00+00:00,100.0,,12.95,0.0
1325,02,2025-10-15,2025-10-15 02:00:00+00:00,86.5,,12.1,0.0
1325,02,2025-10-16,2025-10-16 02:00:00+00:00,80.5,,10.6,0.0
1325,02,2025-10-17,2025-10-17 02:00:00+00:00,84.5,,11.85,0.0
1325,02,2025-10-18,2025-10-18 02:00:00+00:00,91.5,,11.7,0.0
1325,02,2025-10-19,2025-10-19 02:00:00+00:00,88.5,,9.85000000000002,0.0
1325,02,2025-10-20,2025-10-20 02:00:00+00:00,75.0,,11.45,0.0
1325,02,2025-10-21,2025-10-21 02:00:00+00:00,74.5,,13.35,0.0
1325,02,2025-10-22,2025-10-22 02:00:00+00:00,60.5,,16.2,0.0
1325,03,2025-10-11,2025-10-11 03:00:00+00:00,78.0,,13.35,0.0
1325,03,2025-10-12,2025-10-12 03:00:00+00:00,80.5,,13.2,0.0
1325,03,2025-10-13,2025-10-13 03:00:00+00:00,87.0,,12.85,0.0
1325,03,2025-10-14,2025-10-14 03:00:00+00:00,100.0,,12.7,0.0
1325,03,2025-10-15,2025-10-15 03:00:00+00:00,85.5,,12.05,0.0
1325,03,2025-10-16,2025-10-16 03:00:00+00:00,80.0,,10.15,0.0
1325,03,2025-10-17,2025-10-17 03:00:00+00:00,86.0,,11.8,0.0
1325,03,2025-10-18,2025-10-18 03:00:00+00:00,89.0,,11.75,0.0
1325,03,2025-10-19,2025-10-19 03:00:00+00:00,89.5,,9.70000000000004,0.0
1325,03,2025-10-20,2025-10-20 03:00:00+00:00,68.5,,12.05,0.0
1325,03,2025-10-21,2025-10-21 03:00:00+00:00,61.0,,14.8,0.0
1325,03,2025-10-22,2025-10-22 03:00:00+00:00,63.0,,15.95,0.0
1325,04,2025-10-11,2025-10-11 04:00:00+00:00,79.0,,12.95,0.0
1325,04,2025-10-12,2025-10-12 04:00:00+00:00,77.0,,14.0,0.0
1325,04,2025-10-13,2025-10-13 04:00:00+00:00,91.0,,12.15,0.0
1325,04,2025-10-14,2025-10-14 04:00:00+00:00,100.0,,12.6,0.0
